com.samsung.shealth.activity.day_summary,6123001,1
step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
5564,3513134,0,2019-04-21 20:54:58.578,2019-04-20 21:00:00.881,60,791503,96,4396.401,248.37332,34238034-320b-4d09-aae8-198826c03b85.extra_data.json,lv82WtQZxZ,19600,com.sec.android.app.shealth,3493534,26520000,34238034-320b-4d09-aae8-198826c03b85,1555804800000,
3891,2578476,0,2019-02-16 21:34:45.532,2019-02-15 21:03:28.939,60,60000,70,3101.5996,181.81998,9446515d-73ef-4c78-81ff-d7201869c224.extra_data.json,lv82WtQZxZ,25200,com.sec.android.app.shealth,2553276,22560000,9446515d-73ef-4c78-81ff-d7201869c224,1550275200000,
4046,2582266,0,2019-05-02 20:54:59.557,2019-05-01 21:00:00.431,60,240000,70,3239.02,184.77997,141a1274-226e-4412-9c4c-0ceacd6f538b.extra_data.json,lv82WtQZxZ,29200,com.sec.android.app.shealth,2553066,37860000,141a1274-226e-4412-9c4c-0ceacd6f538b,1556755200000,
5996,3884021,0,2019-04-16 20:47:05.974,2019-04-15 21:00:00.599,60,180000,106,4714.0005,269.87,83d2baab-5f64-4e16-b805-df9ae18d388a.extra_data.json,lv82WtQZxZ,68689,com.sec.android.app.shealth,3815332,15660000,83d2baab-5f64-4e16-b805-df9ae18d388a,1555372800000,
4449,2827143,0,2019-04-27 22:27:41.622,2019-04-26 21:00:00.377,60,240000,78,3568.791,206.52997,50c9a0e2-2e68-4211-b44c-4acd09c2ea80.extra_data.json,lv82WtQZxZ,65565,com.sec.android.app.shealth,2761578,28680000,50c9a0e2-2e68-4211-b44c-4acd09c2ea80,1556323200000,
5530,3433494,0,2019-02-11 20:52:37.958,2019-02-10 21:00:00.628,60,420000,93,4281.7705,241.88994,fb82f2cf-d0c4-4125-a69a-18c20e7d12e1.extra_data.json,lv82WtQZxZ,21847,com.sec.android.app.shealth,3411647,19560000,fb82f2cf-d0c4-4125-a69a-18c20e7d12e1,1549843200000,
1307,862157,0,2019-02-22 20:54:59.238,2019-02-21 21:00:00.671,60,45356,23,1059.26,61.27999,05a30600-4f8d-4fb1-a9f3-1df27d86d3bd.extra_data.json,lv82WtQZxZ,14400,com.sec.android.app.shealth,847757,28440000,05a30600-4f8d-4fb1-a9f3-1df27d86d3bd,1550793600000,
6021,3735163,0,2019-02-17 20:46:24.280,2019-02-16 21:00:00.535,60,300000,101,4669.518,264.09,7b158e65-ed8e-4824-9dec-08c741a05494.extra_data.json,lv82WtQZxZ,28000,com.sec.android.app.shealth,3707163,23160000,7b158e65-ed8e-4824-9dec-08c741a05494,1550361600000,
9705,6194557,0,2019-02-28 21:00:01.122,2019-02-27 21:00:00.482,60,420000,170,7492.2993,421.80005,e6622cfe-0f50-4acc-9c97-97739d461ae4.extra_data.json,lv82WtQZxZ,47624,com.sec.android.app.shealth,6146933,22320000,e6622cfe-0f50-4acc-9c97-97739d461ae4,1551312000000,
2061,1367019,0,2019-04-22 20:54:59.690,2019-04-21 21:00:00.305,60,60000,36,1620.9602,94.76998,fcec852d-4dbe-45e3-8891-96e536a19b74.extra_data.json,lv82WtQZxZ,8400,com.sec.android.app.shealth,1358619,23640000,fcec852d-4dbe-45e3-8891-96e536a19b74,1555891200000,
