com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3588,aff5b077-4762-4a7c-9caa-e35f060e6c28.binning_data.json,1811789,4500,101,2019-03-06 21:00:03.961,com.sec.android.app.shealth,2019-03-06 21:00:03.961,,3.6495783,2857.48,165.02998,3487,lv82WtQZxZ,com.sec.android.app.shealth,0,aff5b077-4762-4a7c-9caa-e35f060e6c28.achievement.json,aff5b077-4762-4a7c-9caa-e35f060e6c28,1551830400000,
8337,2b3622a5-6a6f-4aea-9a34-62c8634d7eb5.binning_data.json,4332742,4500,170,2019-02-19 20:11:15.973,com.sec.android.app.shealth,2019-02-19 04:04:27.977,2b3622a5-6a6f-4aea-9a34-62c8634d7eb5.source_info.json,1.5026674,6510.6704,361.88995,8167,VfS0qUERdZ,com.sec.android.app.shealth,0,2b3622a5-6a6f-4aea-9a34-62c8634d7eb5.achievement.json,2b3622a5-6a6f-4aea-9a34-62c8634d7eb5,1550534400000,
5992,e661f73c-6bc3-446c-8145-c499e5b4241f.binning_data.json,3260991,4500,20,2019-03-05 21:00:05.566,com.sec.android.app.shealth,2019-03-04 21:00:05.201,,3.5833333,4555.98,253.10995,5972,lv82WtQZxZ,com.sec.android.app.shealth,0,e661f73c-6bc3-446c-8145-c499e5b4241f.achievement.json,e661f73c-6bc3-446c-8145-c499e5b4241f,1551657600000,
5047,a68de20d-6957-4188-85a6-2cd882ddadea.binning_data.json,2512574,4500,151,2019-03-02 21:00:04.241,com.sec.android.app.shealth,2019-02-28 21:15:02.235,a68de20d-6957-4188-85a6-2cd882ddadea.source_info.json,1.6363616,4111.48,238.04999,4896,VfS0qUERdZ,com.sec.android.app.shealth,0,a68de20d-6957-4188-85a6-2cd882ddadea.achievement.json,a68de20d-6957-4188-85a6-2cd882ddadea,1551398400000,
5792,6bcd2a85-f88b-4e78-8b70-e3e4c6da976c.binning_data.json,3068849,4500,52,2019-02-12 20:41:00.578,com.sec.android.app.shealth,2019-02-11 21:16:48.505,6bcd2a85-f88b-4e78-8b70-e3e4c6da976c.source_info.json,1.4568261,4470.78,250.28998,5740,VfS0qUERdZ,com.sec.android.app.shealth,0,6bcd2a85-f88b-4e78-8b70-e3e4c6da976c.achievement.json,6bcd2a85-f88b-4e78-8b70-e3e4c6da976c,1549929600000,
7146,3f726d45-b551-4ddc-a954-3a1582bf94c1.binning_data.json,3676910,4500,260,2019-03-07 21:00:13.286,com.sec.android.app.shealth,2019-03-07 21:00:03.518,,4.3055553,5679.7603,329.11996,6886,lv82WtQZxZ,com.sec.android.app.shealth,0,3f726d45-b551-4ddc-a954-3a1582bf94c1.achievement.json,3f726d45-b551-4ddc-a954-3a1582bf94c1,1551916800000,
1307,ed71613f-9322-4b12-8e36-0e80d44ef347.binning_data.json,670359,4500,36,2019-02-22 20:54:59.623,com.sec.android.app.shealth,2019-02-21 22:56:14.520,ed71613f-9322-4b12-8e36-0e80d44ef347.source_info.json,1.5801368,1059.26,61.28,1271,VfS0qUERdZ,com.sec.android.app.shealth,0,ed71613f-9322-4b12-8e36-0e80d44ef347.achievement.json,ed71613f-9322-4b12-8e36-0e80d44ef347,1550793600000,
3063,767beea7-7f01-4316-9ecd-3ba2a71e0e70.binning_data.json,1534706,4500,101,2019-03-09 21:00:03.116,com.sec.android.app.shealth,2019-03-09 21:00:03.116,,6.944445,2482.78,147.12999,2962,lv82WtQZxZ,com.sec.android.app.shealth,0,767beea7-7f01-4316-9ecd-3ba2a71e0e70.achievement.json,767beea7-7f01-4316-9ecd-3ba2a71e0e70,1552089600000,
4043,17edcde6-2b55-4b41-8c83-bd6307beae83.binning_data.json,1953698,4500,233,2019-02-15 20:14:57.722,com.sec.android.app.shealth,2019-02-14 22:30:11.509,17edcde6-2b55-4b41-8c83-bd6307beae83.source_info.json,1.7089276,3338.73,199.11,3810,VfS0qUERdZ,com.sec.android.app.shealth,0,17edcde6-2b55-4b41-8c83-bd6307beae83.achievement.json,17edcde6-2b55-4b41-8c83-bd6307beae83,1550188800000,
6008,98c66861-f708-4930-bc33-e713eeb5a5e6.binning_data.json,3222267,4500,64,2019-03-10 21:00:13.633,com.sec.android.app.shealth,2019-03-10 21:00:13.633,,3.8888886,4612.8,257.37997,5944,lv82WtQZxZ,com.sec.android.app.shealth,0,98c66861-f708-4930-bc33-e713eeb5a5e6.achievement.json,98c66861-f708-4930-bc33-e713eeb5a5e6,1552176000000,
5992,80bbf998-0bba-43ae-88cf-929b141d09c6.binning_data.json,3261056,4500,20,2019-03-05 21:00:09.139,com.sec.android.app.shealth,2019-03-03 21:29:45.104,80bbf998-0bba-43ae-88cf-929b141d09c6.source_info.json,1.3970871,4555.98,253.10995,5972,VfS0qUERdZ,com.sec.android.app.shealth,0,80bbf998-0bba-43ae-88cf-929b141d09c6.achievement.json,80bbf998-0bba-43ae-88cf-929b141d09c6,1551657600000,
8153,44ea8406-9020-47d6-8571-2653a32951f8.binning_data.json,4306434,4500,79,2019-02-25 21:00:09.902,com.sec.android.app.shealth,2019-02-25 04:00:38.931,44ea8406-9020-47d6-8571-2653a32951f8.source_info.json,1.4734603,6345.36,353.31,8074,VfS0qUERdZ,com.sec.android.app.shealth,0,44ea8406-9020-47d6-8571-2653a32951f8.achievement.json,44ea8406-9020-47d6-8571-2653a32951f8,1551052800000,
8514,4860872d-dba9-4f70-bfe3-ac26759a9984.binning_data.json,4573347,4500,139,2019-03-12 21:00:03.744,com.sec.android.app.shealth,2019-03-12 21:00:03.744,,6.944445,6607.65,374.48996,8375,lv82WtQZxZ,com.sec.android.app.shealth,0,4860872d-dba9-4f70-bfe3-ac26759a9984.achievement.json,4860872d-dba9-4f70-bfe3-ac26759a9984,1552348800000,
8363,ada9d578-c5b6-474c-8d5e-5123193f3d60.binning_data.json,4294760,4500,235,2019-02-18 20:03:28.010,com.sec.android.app.shealth,2019-02-17 21:13:48.464,ada9d578-c5b6-474c-8d5e-5123193f3d60.source_info.json,1.5234516,6542.86,360.84998,8128,VfS0qUERdZ,com.sec.android.app.shealth,0,ada9d578-c5b6-474c-8d5e-5123193f3d60.achievement.json,ada9d578-c5b6-474c-8d5e-5123193f3d60,1550448000000,
3380,3d5abebb-004a-426d-ba01-b8610c28090b.binning_data.json,1727518,4500,63,2019-03-13 21:00:03.567,com.sec.android.app.shealth,2019-03-13 21:00:03.567,,6.9444447,2708.82,157.21999,3317,lv82WtQZxZ,com.sec.android.app.shealth,0,3d5abebb-004a-426d-ba01-b8610c28090b.achievement.json,3d5abebb-004a-426d-ba01-b8610c28090b,1552435200000,
6878,f82c6dde-bf0c-4dfc-8014-ea6906a2f08c.binning_data.json,3713094,4500,149,2019-03-14 21:00:10.687,com.sec.android.app.shealth,2019-03-14 21:00:10.687,,4.0277777,5350.75,307.61996,6729,lv82WtQZxZ,com.sec.android.app.shealth,0,f82c6dde-bf0c-4dfc-8014-ea6906a2f08c.achievement.json,f82c6dde-bf0c-4dfc-8014-ea6906a2f08c,1552521600000,
7146,d648eaf6-9350-41cb-b1e8-36e35813b2d9.binning_data.json,3676998,4500,260,2019-03-08 21:00:13.047,com.sec.android.app.shealth,2019-03-06 23:22:49.497,d648eaf6-9350-41cb-b1e8-36e35813b2d9.source_info.json,1.5446728,5679.7603,329.11996,6886,VfS0qUERdZ,com.sec.android.app.shealth,0,d648eaf6-9350-41cb-b1e8-36e35813b2d9.achievement.json,d648eaf6-9350-41cb-b1e8-36e35813b2d9,1551916800000,
