com.samsung.shealth.tracker.pedometer_step_count,6123001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
21745,4,0,34,2020-11-07 14:31:00.000,,,2020-11-07 14:31:59.805,2020-11-07 14:31:49.615,34,1.3184557,28.669996,1.7499994,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:32:00.000,8465cc90-6083-4971-8443-39f126b02b5a,
35277,4,2,74,2020-11-07 17:52:00.000,,,2020-11-07 17:52:58.899,2020-11-07 17:52:16.773,76,1.7195047,60.66,3.3599992,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:53:00.000,fce23c95-190f-4cb4-ab6c-9be35ff14fe6,
8958,4,1,17,2020-11-07 19:34:00.000,,,2020-11-07 19:34:19.758,2020-11-07 19:34:09.405,18,1.8463594,16.54,1.07,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 19:35:00.000,1e309018-6845-4340-a59a-130965ec0d1a,
8074,4,0,18,2020-11-07 18:12:00.000,,,2020-11-07 18:13:16.414,2020-11-07 18:13:16.414,18,1.75,14.13,0.73,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 18:13:00.000,a1aa74b8-61ef-4df8-8393-8040b9544f52,
31793,4,0,62,2020-11-07 17:11:00.000,,,2020-11-07 17:11:59.512,2020-11-07 17:11:33.200,62,1.4660264,46.61,2.5199993,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:12:00.000,b4a52279-c71d-428f-9d5c-06c4890cca6e,
2810,4,0,9,2020-11-07 15:36:00.000,,,2020-11-07 15:36:59.936,2020-11-07 15:36:58.774,9,2.6010342,7.31,0.38,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 15:37:00.000,a80b60c3-635c-474e-b003-e0218f16ced4,
3416,4,0,6,2020-11-07 14:46:00.000,,,2020-11-07 14:46:58.462,2020-11-07 14:46:58.462,6,1.3055556,4.46,0.25,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:47:00.000,365f3292-de9c-4c46-abf4-74baf38796e0,
17358,4,0,27,2020-11-07 20:02:00.000,,,2020-11-07 20:02:57.199,2020-11-07 20:02:08.851,27,1.1302801,19.619997,1.1299999,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 20:03:00.000,4d77ee28-432e-44d2-82fe-bd9ae5e91d8d,
12966,4,0,26,2020-11-07 18:57:00.000,,,2020-11-07 18:57:40.421,2020-11-07 18:57:06.257,26,1.5262043,19.79,1.07,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 18:58:00.000,d223144b-dc6c-42c2-a172-67a32e00e4b1,
15300,4,14,23,2020-11-07 17:41:00.000,,,2020-11-07 17:43:04.418,2020-11-07 17:43:04.418,37,2.1666667,33.15,2.29,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:42:00.000,ef8e1f5b-a69a-4d70-a750-5e067da92b2a,
